uid,period,contr_nrmd,contr_oth_nrmd
97,10,0.5,0.625
98,1,0.5,0.375
98,2,0.5,0.5
98,3,1.0,0.25
98,4,0.5,0.125
98,5,0.5,0.0
98,6,0.0,0.375
98,7,0.5,0.375
98,8,0.0,0.375
98,9,0.5,0.5
98,10,1.0,0.25
99,1,0.5,0.375
99,2,1.0,0.375
99,3,0.5,0.375
99,4,0.0,0.25
99,5,0.0,0.125
99,6,0.5,0.25
99,7,0.0,0.5
99,8,0.5,0.25
99,9,1.0,0.375
99,10,0.0,0.5
100,1,0.5,0.375
100,2,0.5,0.5
100,3,0.0,0.5
100,4,0.5,0.125
100,5,0.0,0.125
100,6,0.5,0.25
100,7,1.0,0.25
100,8,0.0,0.375
100,9,0.5,0.5
100,10,0.5,0.375
101,1,0.5,0.375
101,2,0.5,0.5
101,3,0.5,0.375
101,4,0.0,0.25
101,5,0.0,0.125
101,6,0.5,0.25
101,7,0.5,0.375
101,8,1.0,0.125
101,9,0.5,0.5
101,10,0.5,0.375
102,1,0.2,0.45
102,2,0.25,0.4625
102,3,0.4,0.2625
102,4,0.2,0.175
102,5,0.2,0.2
102,6,0.2,0.1125
102,7,0.15,0.05
102,8,0.0,0.0
102,9,0.0,0.0875
102,10,0.05,0.0125
103,1,0.4,0.4
103,2,0.45,0.4125
103,3,0.55,0.225
103,4,0.4,0.125
103,5,0.5,0.125
103,6,0.25,0.1
103,7,0.05,0.075
103,8,0.0,0.0
103,9,0.35,0.0
103,10,0.05,0.0125
104,1,1.0,0.25
104,2,1.0,0.275
104,3,0.0,0.3625
104,4,0.0,0.225
104,5,0.0,0.25
104,6,0.0,0.1625
104,7,0.0,0.0875
104,8,0.0,0.0
104,9,0.0,0.0875
104,10,0.0,0.025
105,1,0.4,0.4
105,2,0.4,0.425
105,3,0.5,0.2375
105,4,0.3,0.15
105,5,0.3,0.175
105,6,0.2,0.1125
105,7,0.15,0.05
105,8,0.0,0.0
105,9,0.0,0.0875
105,10,0.0,0.025
106,1,0.5,0.5625
106,2,0.6,0.5
106,3,0.0,0.2
106,4,0.0,0.025
106,5,0.0,0.0
106,6,0.0,0.0
106,7,0.0,0.0
106,8,0.0,0.0
106,9,0.0,0.0
106,10,0.0,0.0
107,1,0.25,0.625
107,2,0.5,0.525
107,3,0.4,0.1
107,4,0.1,0.0
107,5,0.0,0.0
107,6,0.0,0.0
107,7,0.0,0.0
107,8,0.0,0.0
107,9,0.0,0.0
107,10,0.0,0.0
108,1,1.0,0.4375
108,2,0.5,0.525
108,3,0.4,0.1
108,4,0.0,0.025
108,5,0.0,0.0
108,6,0.0,0.0
108,7,0.0,0.0
108,8,0.0,0.0
108,9,0.0,0.0
108,10,0.0,0.0
109,1,1.0,0.4375
109,2,1.0,0.4
109,3,0.0,0.2
109,4,0.0,0.025
109,5,0.0,0.0
109,6,0.0,0.0
109,7,0.0,0.0
109,8,0.0,0.0
109,9,0.0,0.0
109,10,0.0,0.0
110,1,0.25,0.625
110,2,0.35,0.5375
110,3,0.15,0.55
110,4,0.4,0.3625
110,5,0.05,0.3125
110,6,0.4,0.225
110,7,0.05,0.35
110,8,0.05,0.1625
110,9,0.05,0.0875
110,10,0.25,0.25
111,1,0.5,0.5625
111,2,0.5,0.5
111,3,0.5,0.4625
111,4,0.5,0.3375
111,5,0.5,0.2
111,6,0.4,0.225
111,7,0.45,0.25
111,8,0.5,0.05
111,9,0.35,0.0125
111,10,0.0,0.3125
112,1,1.0,0.4375
112,2,0.75,0.4375
112,3,0.7,0.4125
112,4,0.7,0.2875
112,5,0.0,0.325
112,6,0.0,0.325
112,7,0.1,0.3375
112,8,0.05,0.1625
112,9,0.0,0.1
112,10,0.0,0.3125
113,1,1.0,0.4375
113,2,0.9,0.4
113,3,1.0,0.3375
113,4,0.25,0.4
113,5,0.75,0.1375
113,6,0.5,0.2
113,7,0.85,0.15
113,8,0.1,0.15
113,9,0.0,0.1
113,10,1.0,0.0625
114,1,0.5,0.4
114,2,0.5,0.4625
114,3,0.6,0.4375
114,4,0.5,0.1375
114,5,0.0,0.1125
114,6,0.25,0.25
114,7,0.25,0.3375
114,8,0.25,0.275
114,9,0.25,0.05
114,10,0.0,0.3375
115,1,0.65,0.3625
115,2,0.6,0.4375
115,3,0.8,0.3875
115,4,0.35,0.175
